"№","Наименование","Ед. изм.","Сухие в-ва","Калорийность"
"453","Лосось свежий (филе с кожей)","кг","32.8","179.8"
"454","Лосось слабосоленый (филе с кожей)","кг","35.1","142.1"
"455","Лосось тушка потрошенная с головой","кг","32.8","179.8"
"456","Лосятина Мякоть","кг","25.6","104.9"
"457","Лук Сибулет (резанец)","кг","7","19.2"
"458","Лук зеленый (перо)","кг","7","19.2"
"459","Лук порей","кг","12","34"
"460","Лук репчатый","кг","14","42"
"461","Лук репчатый красный","кг","14","42"
"462","Лук шалот","кг","7.2","21"
"463","Луковые кольца в панировке","кг","46.5","238.5"
"464","Люля - кебаб мясной п/ф пром. производства","кг","50.5","362.6"
"465","Лягушачьи лапки (Китай)","кг","16","64"
"466","Майонез Провансаль","кг","75","625"
"467","Майонез высокой жирности","кг","83.09999999999999","712.4"
"468","Мак (семена)","кг","92.2","505.5"
"469","Макаронные изделия I сорта","кг","87","328.1"
"470","Макаронные изделия Лазанья","кг","87","330.3"
"471","Макаронные изделия высшего сорта","кг","87","330.3"
"472","Макароны Каннелоне (Италия)","кг","87","330.3"
"473","Макароны Пенне (Италия)","кг","87","330.3"
"474","Макароны Спагетти (Италия)","кг","87","330.3"
"475","Макароны Спагетти с чернилами каракатицы (Италия)","кг","87","330.3"
"476","Макароны Тальятелле (Италия)","кг","87","330.3"
"477","Макароны Фетуччини","кг","87","330.3"
"478","Макароны Фузилли (Италия)","кг","87","330.3"
"479","Малина","кг","18","39.1"
"480","Манго","кг","17.6","61"
"481","Манго консервированное (дольки)","кг","17.6","61"
"482","Мандарин","кг","11.5","38.3"
"483","Манная крупа","кг","86","321"
"484","Маракуйя","кг","25.1","37.2"
"485","Маргарин жидкий Rama Comby Profi","кг","41.9","347.6"
"486","Маргарин сливочный","кг","84.09999999999999","743.2"
"487","Мармелад желейный формовой","кг","79","311.7"
"488","Марципан пром. производства","кг","91.90000000000001","405.9"
"489","Маслины без косточки консервированные","кг","30.4","174.7"
"490","Маслины с косточкой гигантские консервированные","кг","30.4","174.7"
"491","Маслины с косточкой консервированные","кг","30.4","174.7"
"492","Масло арахисовое нерафинированное","кг","99.09999999999999","828"
"493","Масло грецкого ореха нерафинированное","кг","99.09999999999999","828"
"494","Масло кунжутное нерафинированное","кг","99.09999999999999","828"
"495","Масло медовое","кг","0","885.6"
"496","Масло оливковое Extra Virgin","кг","99.09999999999999","828"
"497","Масло оливковое рафинированное","кг","99.8","899.1"
"498","Масло оливковое с ароматом трюфеля","кг","99.09999999999999","828"
"499","Масло подсолнечное нерафинированное","кг","99.09999999999999","828"
"500","Масло подсолнечное рафинированное","л","99.90000000000001","899.1"
"501","Масло сливочное несоленое","кг","84","747.7"
"502","Масло топленое","кг","99","885.6"
"503","Масло шоколадное","кг","0","638.4"
"504","Масляная рыба","кг","24.5","113"
"505","Масса творожная сладкая","кг","59","345.4"
"506","Мастика сахарная белая","кг","97.5","393"
"507","Маффин готовый замороженный","шт","80.90000000000001","444.6"
"508","Мед натуральный","кг","82.59999999999999","324.4"
"509","Медвежатина мякоть","кг","28.8","155.1"
"510","Мидии Киви","кг","12.2","36.4"
"511","Мидии в раковине","кг","12.2","49.9"
"512","Мидии вяленые","кг","64","271"
"513","Мидии копченые в масле","кг","41.5","318.5"
"514","Мидии очищенные с/м","кг","12.2","49.9"
"515","Микс Венский","кг","79.59999999999999","351.4"
"516","Минтай с/м разделанный обезглавленный","кг","18.1","71.7"
"517","Мирин","л","26.3","106.2"
"518","Мисо - паста","кг","32.7","152.3"
"519","Мицукан Уксус","л","50","200"
"520","Мойва с/м","кг","21.6","116.3"
"521","Моллюск рапана свежий","кг","19.5","76.7"
"522","Молоки рыбные (Кета)","кг","18","76"
"523","Молоко пастеризованное 1,5% жирности","кг","10","44"
"524","Молоко пастеризованное 2,5% жирности","кг","10.9","52.7"
"525","Молоко пастеризованное 3,2% жирности","кг","11.5","58.8"
"526","Молоко пастеризованное 3,5% жирности","кг","11.8","61.4"
"527","Молоко сгущенное с сахаром","кг","74","329.3"
"528","Молоко сгущеное вареное","кг","74","329.3"
"529","Молоко сухое цельное","кг","96","479"
"530","Молочный коктейль Чудо","кг","14.3","67.2"
"531","Морковь корейская","кг","22","113.6"
"532","Морковь молодая с/м очищенная","кг","12","34.9"
"533","Морковь столовая свежая","кг","12","34.9"
"534","Мороженое Ваниль","кг","34","182.4"
"535","Мороженое Клубника","кг","34","182.4"
"536","Мороженое Пломбир","кг","40","231"
